OS,Scene,Algorithm,Time
Windows,pbrt-book,kdtree,2345.2
Windows,pbrt-book,mitchell,2360.7
Windows,pbrt-book,sinc,2495.7
Windows,sssdragon,bvh,1985.6
Windows,sssdragon,kdtree,4225.5
Windows,sssdragon,mitchell,1961.4
Windows,sssdragon,sinc,2080.8
WSL,coffee-splash,bvh,1384.2
WSL,coffee-splash,kdtree,1690.6
WSL,coffee-splash,mitchell,1402.3
WSL,coffee-splash,sinc,1427.2
WSL,ganesha,bvh,621.2
WSL,ganesha,kdtree,791.7
WSL,ganesha,mitchell,621
WSL,ganesha,sinc,646.4
WSL,pbrt-book,bvh,1813.2
WSL,pbrt-book,kdtree,1846.9
WSL,pbrt-book,mitchell,1769.1
WSL,pbrt-book,sinc,1879.1
WSL,sssdragon,bvh,1814.9
WSL,sssdragon,kdtree,3406.1
WSL,sssdragon,mitchell,1798.4
WSL,sssdragon,sinc,1855.7
LinuxVM,coffee-splash,bvh,1564.9
LinuxVM,coffee-splash,kdtree,1925.6
LinuxVM,coffee-splash,mitchell,1610.2
LinuxVM,coffee-splash,sinc,1654.4
LinuxVM,ganesha,bvh,688.7
LinuxVM,ganesha,kdtree,944.8
LinuxVM,ganesha,mitchell,708.7
LinuxVM,ganesha,sinc,743.5
LinuxVM,pbrt-book,bvh,2024.2
LinuxVM,pbrt-book,kdtree,2034.7
LinuxVM,pbrt-book,mitchell,2055.7
LinuxVM,pbrt-book,sinc,2139.5
LinuxVM,sssdragon,bvh,2104.9
LinuxVM,sssdragon,kdtree,3952
LinuxVM,sssdragon,mitchell,2109.6
LinuxVM,sssdragon,sinc,2169.8
macOS,coffee-splash,bvh,1185.1
macOS,coffee-splash,kdtree,1455.3
macOS,coffee-splash,mitchell,1195.2
macOS,coffee-splash,sinc,1240.3
macOS,ganesha,bvh,549.6
macOS,ganesha,kdtree,739.8
macOS,ganesha,mitchell,539.5
macOS,ganesha,sinc,584.2
macOS,pbrt-book,bvh,1610.1
macOS,pbrt-book,kdtree,1610.4
macOS,pbrt-book,mitchell,1665.3
macOS,pbrt-book,sinc,1735.5
macOS,sssdragon,bvh,1540.3
macOS,sssdragon,kdtree,3071.5
macOS,sssdragon,mitchell,1564.8
macOS,sssdragon,sinc,1615.4
LinuxHW,coffee-splash,bvh,1878.4
LinuxHW,coffee-splash,kdtree,2262.7
LinuxHW,coffee-splash,mitchell,1892.7
LinuxHW,coffee-splash,sinc,2202.9
LinuxHW,ganesha,bvh,822.7
LinuxHW,ganesha,kdtree,1082.7
LinuxHW,ganesha,mitchell,827.7
LinuxHW,ganesha,sinc,1097.7
LinuxHW,pbrt-book,bvh,2427.7
LinuxHW,pbrt-book,kdtree,2422.7
LinuxHW,pbrt-book,mitchell,2497.8
LinuxHW,pbrt-book,sinc,2552.7
LinuxHW,sssdragon,bvh,2422.7
LinuxHW,sssdragon,kdtree,4603.1
LinuxHW,sssdragon,mitchell,2732.8
LinuxHW,sssdragon,sinc,2487.8
Windows,coffee-splash,bvh,1991.1
Windows,coffee-splash,kdtree,2671.2
Windows,coffee-splash,mitchell,2227.9
Windows,coffee-splash,sinc,2056.7
Windows,ganesha,bvh,754.9
Windows,ganesha,kdtree,1136.3
Windows,ganesha,mitchell,839.6
Windows,ganesha,sinc,799.6
Windows,pbrt-book,bvh,2346.0
Windows,pbrt-book,kdtree,2360.3
Windows,pbrt-book,mitchell,2663.6
Windows,pbrt-book,sinc,2506.1
Windows,sssdragon,bvh,1986.4
Windows,sssdragon,kdtree,4702.0
Windows,sssdragon,mitchell,2167.1
Windows,sssdragon,sinc,2097.0
WSL,coffee-splash,bvh,1364.4
WSL,coffee-splash,kdtree,1670.5
WSL,coffee-splash,mitchell,1399.7
WSL,coffee-splash,sinc,1439.8
WSL,ganesha,bvh,616.3
WSL,ganesha,kdtree,802.1
WSL,ganesha,mitchell,611.1
WSL,ganesha,sinc,641.5
WSL,pbrt-book,bvh,1798.7
WSL,pbrt-book,kdtree,1849.6
WSL,pbrt-book,mitchell,1773.1
WSL,pbrt-book,sinc,1898.5
WSL,sssdragon,bvh,1805.4
WSL,sssdragon,kdtree,3366.3
WSL,sssdragon,mitchell,1814.8
WSL,sssdragon,sinc,1820.5
LinuxVM,coffee-splash,bvh,1569.9
LinuxVM,coffee-splash,kdtree,1944.0
LinuxVM,coffee-splash,mitchell,1639.1
LinuxVM,coffee-splash,sinc,1664.8
LinuxVM,ganesha,bvh,683.7
LinuxVM,ganesha,kdtree,939.2
LinuxVM,ganesha,mitchell,713.4
LinuxVM,ganesha,sinc,753.7
LinuxVM,pbrt-book,bvh,2039.0
LinuxVM,pbrt-book,kdtree,2038.7
LinuxVM,pbrt-book,mitchell,2063.7
LinuxVM,pbrt-book,sinc,2154.0
LinuxVM,sssdragon,bvh,2124.9
LinuxVM,sssdragon,kdtree,4037.1
LinuxVM,sssdragon,mitchell,2144.1
LinuxVM,sssdragon,sinc,2189.5
macOS,coffee-splash,bvh,1175.0
macOS,coffee-splash,kdtree,1460.3
macOS,coffee-splash,mitchell,1205.1
macOS,coffee-splash,sinc,1225.0
macOS,ganesha,bvh,539.4
macOS,ganesha,kdtree,729.6
macOS,ganesha,mitchell,544.7
macOS,ganesha,sinc,589.2
macOS,pbrt-book,bvh,1620.7
macOS,pbrt-book,kdtree,1594.9
macOS,pbrt-book,mitchell,1650.9
macOS,pbrt-book,sinc,1715.3
macOS,sssdragon,bvh,1545.2
macOS,sssdragon,kdtree,3070.8
macOS,sssdragon,mitchell,1530.4
macOS,sssdragon,sinc,1584.3
LinuxHW,coffee-splash,bvh,1722.7
LinuxHW,coffee-splash,kdtree,2292.7
LinuxHW,coffee-splash,mitchell,1967.8
LinuxHW,coffee-splash,sinc,2017.8
LinuxHW,ganesha,bvh,867.8
LinuxHW,ganesha,kdtree,1117.7
LinuxHW,ganesha,mitchell,867.7
LinuxHW,ganesha,sinc,907.7
LinuxHW,pbrt-book,bvh,2502.7
LinuxHW,pbrt-book,kdtree,2537.8
LinuxHW,pbrt-book,mitchell,2497.8
LinuxHW,pbrt-book,sinc,2652.7
LinuxHW,sssdragon,bvh,2497.8
LinuxHW,sssdragon,kdtree,4783.0
LinuxHW,sssdragon,mitchell,2532.7
LinuxHW,sssdragon,sinc,2602.8
